Year,Total,Affirmative,Defensive
1990,"8,470 ","5,670","2,800"
1991,"5,040 ","2,910","2,130"
1992,"6,310 ","4,120","2,180"
1993,"9,540 ","7,510","2,030"
1994,"13,830 ","11,780","2,050"
1995,"20,700 ","17,570","3,130"
1996,"23,530 ","18,620","4,910"
1997,"22,940 ","16,380","6,560"
1998,"20,510 ","13,220","7,290"
1999,"26,570 ","18,150","8,420"
2000,"32,510 ","23,280","9,240"
2001,"39,150 ","29,150","10,000"
2002,"36,940 ","25,960","10,980"
2003,"28,740 ","15,370","13,380"
2004,"27,380 ","14,350","13,020"
2005,"25,300 ","13,550","11,760"
2006,"26,350 ","13,050","13,300"
2007,"25,320 ","12,460","12,860"
2008,"23,020 ","12,130","10,890"
2009,"22,300 ","12,000","10,300"
2010,"19,780 ","11,260","8,520"
2011,"23,630 ","13,490","10,140"
2012,"27,450 ","16,870","10,580"
2013,"24,630 ","14,890","9,750"
2014,"23,040 ","14,420","8,610"
2015,"25,940 ","17,800","8,140"
2016,"20,310 ","11,610","8,700"
2017,"26,370 ","15,800","10,570"
2018,"37,690 ","24,490","13,200"
2019,"45,800 ","26,880","18,920"
2020,"30,710 ","16,100","14,610"
2021,"16,550 ","9,130","7,420"
2022,"35,720 ","13,170","22,550"
2023,"54,350 ","22,300","32,050"