Visa Category,Issued,Refused,Total Applications
A1,"9,448",444,"9,892"
A2,"98,550","4,087","102,637"
A3,680,90,770
B1,"29,286","5,693","34,979"
B1/B2,"5,902,426","1,842,683","7,745,109"
B2,"8,085","4,357","12,442"
BBBCC,"1,776,152","215,926","1,992,078"
BBBCV,"44,878","5,819","50,697"
C1,"15,420","5,199","20,619"
C1/D,"353,164","11,104","364,268"
C2,239,743,982
C3,"4,044",83,"4,127"
CW1,"1,845",157,"2,002"
CW2,464,40,504
D,"10,038","1,000","11,038"
E1,"5,806",491,"6,297"
E2,"54,812","5,615","60,427"
E2C,42,6,48
E3,"4,434",98,"4,532"
E3D,"3,759",73,"3,832"
E3R,"2,410",15,"2,425"
F1,"445,418","253,355","698,773"
F2,"26,844","23,844","50,688"
G1,"4,935",380,"5,315"
G2,"16,657","1,494","18,151"
G3,375,21,396
G4,"25,809",811,"26,620"
G5,200,55,255
H1B,"265,777","5,755","271,532"
H1B1,"3,039",142,"3,181"
H1C,0,4,4
H2A,"310,676","9,990","320,666"
H2B,"131,704","6,745","138,449"
H3,882,171,"1,053"
H4,"186,748","3,938","190,686"
I,"10,796","1,449","12,245"
J1,"316,693","40,961","357,654"
J2,"32,028","2,743","34,771"
K1,"19,825","3,276","23,101"
K2,"3,178",36,"3,214"
K3,6,5,11
L1,"76,671","2,607","79,278"
L2,"83,277","1,945","85,222"
M1,"6,052","2,051","8,103"
M2,195,179,374
N8,7,6,13
N9,1,7,8
NATO1,5,0,5
NATO2,"7,058",104,"7,162"
NATO4,208,0,208
NATO5,80,1,81
NATO6,856,3,859
NATO7,0,1,1
O1,"18,994",898,"19,892"
O2,"13,335",641,"13,976"
O3,"6,453",546,"6,999"
P1,"24,165","1,059","25,224"
P2,65,19,84
P3,"8,806","1,594","10,400"
P4,"1,994",249,"2,243"
Q1,"1,677",78,"1,755"
R1,"5,330","1,226","6,556"
R2,"2,679",819,"3,498"
S7,0,2,2
T2,95,6,101
T3,340,19,359
T4,58,8,66
T5,50,2,52
T6,11,0,11
TD,"17,600",837,"18,437"
TN,"32,904","7,017","39,921"
U1,225,86,311
U2,216,37,253
U3,"1,306",167,"1,473"
U4,18,8,26
U5,24,1,25
Grand Total,"10,438,327","2,481,121","12,919,448"